"date","route_id","n","n_on_time","n_early","n_late","total_schedule_duration","x1","x2","mae_ratio","log_x1","x2_sq","log_I_hat","I_hat","month"
2025-04-03,"T814",290,277,12,1,16.4833333333333,0.9552,0.9693,0.0307,-0.0459,0.9395,-0.082,0.9213,"2025-04"
2025-04-03,"T815",918,847,69,2,35.6833333333333,0.9227,0.9732,0.0268,-0.0805,0.947,-0.1206,0.8864,"2025-04"
2025-04-03,"T816",394,362,31,1,19.9,0.9188,0.9816,0.0184,-0.0847,0.9635,-0.1233,0.884,"2025-04"
2025-04-03,"T817",342,304,35,3,32.4833333333333,0.8889,0.8857,0.1143,-0.1178,0.7845,-0.2109,0.8099,"2025-04"
2025-04-03,"T818",529,475,54,0,29.3666666666667,0.8979,0.9636,0.0364,-0.1077,0.9285,-0.1554,0.8561,"2025-04"
2025-04-03,"T819",197,154,37,6,34.1666666666667,0.7817,0.8744,0.1256,-0.2463,0.7645,-0.3682,0.692,"2025-04"
2025-04-03,"T820",120,75,38,7,20.95,0.625,0,1.2392,-0.47,0,NA,0,"2025-04"
2025-04-03,"T821",404,348,52,4,39.6,0.8614,0.8942,0.1058,-0.1492,0.7996,-0.2408,0.786,"2025-04"
2025-04-03,"T852",1147,1036,104,7,41.35,0.9032,0.958,0.042,-0.1018,0.9177,-0.1505,0.8603,"2025-04"
2025-04-04,"T100",257,245,6,6,19.35,0.9533,0.9653,0.0347,-0.0478,0.9318,-0.0856,0.918,"2025-04"
2025-04-04,"T101",229,223,6,0,29.6166666666667,0.9738,0.9939,0.0061,-0.0266,0.9878,-0.0534,0.948,"2025-04"
2025-04-04,"T102",832,804,23,5,59.3833333333333,0.9663,0.978,0.022,-0.0342,0.9565,-0.066,0.9361,"2025-04"
2025-04-04,"T103",852,798,53,1,25.6833333333333,0.9366,0.9797,0.0203,-0.0655,0.9597,-0.1014,0.9036,"2025-04"
2025-04-04,"T104",100,99,0,1,9.11666666666667,0.99,0.9968,0.0032,-0.0101,0.9937,-0.0342,0.9664,"2025-04"
2025-04-04,"T105",432,422,6,4,59.7333333333333,0.9769,0.9794,0.0206,-0.0234,0.9592,-0.053,0.9484,"2025-04"
2025-04-04,"T106",407,400,4,3,20.3166666666667,0.9828,0.9868,0.0132,-0.0173,0.9738,-0.0443,0.9567,"2025-04"
2025-04-04,"T107",169,169,0,0,13.0166666666667,1,1,0,0,1,-0.0218,0.9784,"2025-04"
