route_id,date,month,BPI,route_short_name,route_long_name
U2200,2026-04-09,2026-04,0.6075,220,Taman Melawati ~ Lebuh Ampang
U2220,2026-04-09,2026-04,0.6885,222,Taman Melawati ~ Stesen LRT Wangsa Maju
U2500,2026-04-09,2026-04,0.828,250,Stesen LRT Wangsa Maju ~ Lebuh Ampang
U2510,2026-04-09,2026-04,0.6211,251,AU3 Jentayu ~ Chow Kit
U2538,2026-04-09,2026-04,0.5659,253,Stesen LRT Wangsa Maju ~ Ampang Point
U2548,2026-04-09,2026-04,0.6963,254,Ayer Panas ~ Titiwangsa via Chowkit
U3000,2026-04-09,2026-04,0.4746,300,Terminal Maluri ~ Lebuh Ampang
U3020,2026-04-09,2026-04,0.7208,302,Titiwangsa ~ KLCC
U3030,2026-04-09,2026-04,0.8959,303,Taman Mulia Jaya ~ Lebuh Ampang
U4000,2026-04-09,2026-04,0.5671,400,Damai Perdana ~ Hab Pasar Seni via Bukit Bintang
U4210,2026-04-09,2026-04,0.0585,421,Hentian Taman Dagang ~ Menara Maybank via Bukit Bintang
U4500,2026-04-09,2026-04,0.87,450,Hentian Kajang ~ Hab Pasar Seni
U5410,2026-04-09,2026-04,0,541,Stesen MRT Taman Equine ~ Stesen LRT BK 5
U5800,2026-04-09,2026-04,0,580,Desa Petaling ~ Pasar Seni via Stesen LRT Salak Selatan
U5810,2026-04-09,2026-04,0.4735,581,Desa Tasik ~ Stesen LRT Bandar Tasik Selatan
U5900,2026-04-09,2026-04,0.8688,590,Bandar Sungai Long ~ Hab Pasar Seni
U6000,2026-04-09,2026-04,0.6428,600,Puchong Utama ~ Hab Pasar Seni
U6400,2026-04-09,2026-04,0.8496,640,Hab Bas Sri Manja ~ Hab Pasar Seni
U6418,2026-04-09,2026-04,0.7479,641,Stesen LRT Subang Jaya ~ Pearl Point
U6500,2026-04-09,2026-04,0.8518,650,Taman Desa ~ Hab Pasar Seni
U6510,2026-04-09,2026-04,0.6868,651,Stesen LRT Muhibbah ~Pearl Point
U6520,2026-04-09,2026-04,0.9556,652,Stesen LRT Awan Besar ~Batu 3 Jalan Klang Lama
U7508,2026-04-09,2026-04,0.8912,750,Hab Sekysen 2 ~ Hab Pasar Seni
U7510,2026-04-09,2026-04,0.6283,751,Taman Sri Muda ~ Hab Pasar Seni
U7520,2026-04-09,2026-04,0.8241,752,Stesen LRT Putra Height ~ Hentian Bandar Shah Alam
U7538,2026-04-09,2026-04,0,753,Hentian Bandar Shah Alam ~ UiTM Puncak Alam
U7548,2026-04-09,2026-04,0.7275,754,LRT Stadium Shah Alam ~ UITM Puncak Perdana
U7700,2026-04-09,2026-04,0.5406,770,Subang Mewah USJ 1 ~ Hab Pasar Seni
U7718,2026-04-09,2026-04,0.7984,771,Subang Mewah USJ 1 ~ Desa Mentari via Persiaran Tujuan
U7720,2026-04-09,2026-04,0.7408,772,Subang Suria Mah Sing ~ Hab Pasar Seni
U7800,2026-04-09,2026-04,0.8153,780,Kota Damansara ~ Hab Pasar Seni
U7828,2026-04-09,2026-04,0.0975,782,Hentian PJ Old Town ~ Hab Pasar Seni
U7830,2026-04-09,2026-04,0.8338,783,Stesen LRT Kelana Jaya ~ Subang Parade
U8210,2026-04-09,2026-04,0.831,821,Pantai Hill Park ~ Hab Pasar Seni
U8220,2026-04-09,2026-04,0.8922,822,Stesen LRT Bangsar ~ Bangsar Shopping Centre
S6060,2026-04-10,2026-04,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-04-10,2026-04,0.6009,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-04-10,2026-04,0.8794,T201,Stesen LRT Gombak ~ Hab Wira Damai
